4.6397 	INFO 	Loaded monitor calibration from ['2025_06_03 17:22']
4.6448 	WARNING 	User requested fullscreen with size [1707 1067], but screen is actually [2560, 1600]. Using actual size
4.8356 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022E7CD767D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022E7CD76770>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022E000C38B0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8357 	EXP 	window1: backgroundImage = ''
4.8357 	EXP 	window1: backgroundFit = 'none'
4.8956 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.8957 	EXP 	window1: recordFrameIntervals = False
4.9937 	EXP 	window1: recordFrameIntervals = True
5.0655 	EXP 	Screen (0) actual frame rate measured at 162.36Hz
5.0656 	EXP 	window1: recordFrameIntervals = False
7.0454 	INFO 	keyboard.Keyboard is using iohub backend.
7.0455 	INFO 	keyboard.Keyboard is using iohub backend.
7.0455 	INFO 	keyboard.Keyboard is using iohub backend.
7.0455 	INFO 	keyboard.Keyboard is using iohub backend.
7.0455 	INFO 	keyboard.Keyboard is using iohub backend.
7.0455 	EXP 	Self: status = STARTED
7.1044 	EXP 	Created welcome_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
